,State,District,Year,Quartar,Trans_Count,Amount
213,Andhra Pradesh,Guntur,2020,3,17601395,42531195809.75448
214,Andhra Pradesh,Krishna,2020,3,19110457,44788458672.084435
215,Andhra Pradesh,East Godavari,2020,4,25989490,58732615663.118416
216,Andhra Pradesh,Srikakulam,2020,4,11092184,25222520275.27882
217,Andhra Pradesh,Spsr Nellore,2020,4,20934374,49115443663.37911
218,Andhra Pradesh,Vizianagaram,2020,4,10580824,24094847668.445065
219,Andhra Pradesh,Visakhapatnam,2020,4,46551467,91879823025.40399
220,Andhra Pradesh,Prakasam,2020,4,16176867,41852443493.515396
221,Andhra Pradesh,Anantapur,2020,4,20996384,49732610814.26222
222,Andhra Pradesh,Ysr,2020,4,15676878,42572974713.44026
223,Andhra Pradesh,West Godavari,2020,4,15674762,40310975762.603455
224,Andhra Pradesh,Kurnool,2020,4,18737323,44718203115.22612
225,Andhra Pradesh,Chittoor,2020,4,29590411,61505711149.79541
226,Andhra Pradesh,Guntur,2020,4,26136538,60641872021.25432
227,Andhra Pradesh,Krishna,2020,4,27981050,64461504667.60723
228,Andhra Pradesh,East Godavari,2021,1,26190701,60027984987.96951
229,Andhra Pradesh,Srikakulam,2021,1,11160473,26486623313.092724
230,Andhra Pradesh,Spsr Nellore,2021,1,22541428,52210333201.53073
231,Andhra Pradesh,Vizianagaram,2021,1,10514582,24153782497.243248
232,Andhra Pradesh,Visakhapatnam,2021,1,48248923,95308386037.84721
233,Andhra Pradesh,Prakasam,2021,1,15175395,41396223622.174774
234,Andhra Pradesh,Anantapur,2021,1,20102957,48353870395.01808
235,Andhra Pradesh,Ysr,2021,1,15374473,42570919448.50447
236,Andhra Pradesh,West Godavari,2021,1,16015685,42124030669.36126
237,Andhra Pradesh,Kurnool,2021,1,17918524,44941629659.56964
238,Andhra Pradesh,Chittoor,2021,1,29342609,60947491846.66089
239,Andhra Pradesh,Guntur,2021,1,27445045,64207987853.108406
240,Andhra Pradesh,Krishna,2021,1,29717175,69715406644.53485
241,Andhra Pradesh,East Godavari,2021,2,31717908,74604325863.66068
242,Andhra Pradesh,Srikakulam,2021,2,13546232,32298129544.540867
243,Andhra Pradesh,Spsr Nellore,2021,2,30290406,72283071757.09679
244,Andhra Pradesh,Vizianagaram,2021,2,12689494,29140685236.830723
245,Andhra Pradesh,Visakhapatnam,2021,2,54390299,114439012713.35336
246,Andhra Pradesh,Prakasam,2021,2,19944047,54535328043.04135
247,Andhra Pradesh,Anantapur,2021,2,25123346,60987487571.279915
248,Andhra Pradesh,Ysr,2021,2,18457361,52523527031.02132
249,Andhra Pradesh,West Godavari,2021,2,20950964,57233116236.18796
250,Andhra Pradesh,Kurnool,2021,2,21972396,56659287474.995804
251,Andhra Pradesh,Chittoor,2021,2,34344902,73654690122.43158
252,Andhra Pradesh,Guntur,2021,2,32968819,82356914463.83287
253,Andhra Pradesh,Krishna,2021,2,36370960,90021923049.96454
254,Andhra Pradesh,East Godavari,2021,3,39572714,89380370072.7078
255,Andhra Pradesh,Srikakulam,2021,3,15639768,34836400769.876816
256,Andhra Pradesh,Spsr Nellore,2021,3,34411958,77839676988.30869
257,Andhra Pradesh,Vizianagaram,2021,3,14510005,31383541628.212524
