,State,Year,Quartar,Amount,Insurance_count
308,Maharashtra,2022,4,174915648.0,125900
309,Maharashtra,2023,1,166596248.0,112174
310,Maharashtra,2023,2,157303399.0,102754
311,Maharashtra,2023,3,151171882.0,104872
312,Maharashtra,2023,4,217657114.0,136968
313,Manipur,2020,2,12554.0,55
314,Manipur,2020,3,45164.0,134
315,Manipur,2020,4,49057.0,90
316,Manipur,2021,1,72254.0,136
317,Manipur,2021,2,81332.0,127
318,Manipur,2021,3,133016.0,111
319,Manipur,2021,4,271789.0,145
320,Manipur,2022,1,517854.0,177
321,Manipur,2022,2,553649.0,218
322,Manipur,2022,3,403213.0,200
323,Manipur,2022,4,620655.0,271
324,Manipur,2023,1,632084.0,222
325,Manipur,2023,2,341671.0,123
326,Manipur,2023,3,193021.0,76
327,Manipur,2023,4,476626.0,225
328,Meghalaya,2020,2,8829.0,41
329,Meghalaya,2020,3,33615.0,112
330,Meghalaya,2020,4,71029.0,92
331,Meghalaya,2021,1,128776.0,107
332,Meghalaya,2021,2,148434.0,139
333,Meghalaya,2021,3,214554.0,139
334,Meghalaya,2021,4,451612.0,263
335,Meghalaya,2022,1,729211.0,337
336,Meghalaya,2022,2,789094.0,379
337,Meghalaya,2022,3,1039491.0,600
338,Meghalaya,2022,4,1189529.0,627
339,Meghalaya,2023,1,1187523.0,562
340,Meghalaya,2023,2,1551577.0,730
341,Meghalaya,2023,3,1728076.0,809
342,Meghalaya,2023,4,1843364.0,806
343,Mizoram,2020,2,7322.0,31
344,Mizoram,2020,3,24691.0,74
345,Mizoram,2020,4,119124.0,81
346,Mizoram,2021,1,302841.0,415
347,Mizoram,2021,2,124805.0,187
348,Mizoram,2021,3,83641.0,81
349,Mizoram,2021,4,175847.0,100
350,Mizoram,2022,1,189428.0,85
351,Mizoram,2022,2,115090.0,76
352,Mizoram,2022,3,471306.0,310
353,Mizoram,2022,4,612551.0,350
354,Mizoram,2023,1,326688.0,171
355,Mizoram,2023,2,232928.0,119
356,Mizoram,2023,3,271799.0,166
357,Mizoram,2023,4,557950.0,312
358,Nagaland,2020,2,9791.0,41
359,Nagaland,2020,3,20798.0,89
360,Nagaland,2020,4,38836.0,62
361,Nagaland,2021,1,42973.0,79
362,Nagaland,2021,2,139479.0,85
363,Nagaland,2021,3,123643.0,91
364,Nagaland,2021,4,341424.0,183
365,Nagaland,2022,1,529223.0,242
366,Nagaland,2022,2,380878.0,186
367,Nagaland,2022,3,439669.0,210
368,Nagaland,2022,4,700864.0,367
369,Nagaland,2023,1,704957.0,320
370,Nagaland,2023,2,628890.0,269
371,Nagaland,2023,3,632287.0,268
372,Nagaland,2023,4,822973.0,331
373,Odisha,2020,2,615193.0,2981
374,Odisha,2020,3,2640191.0,10955
375,Odisha,2020,4,4208701.0,7526
376,Odisha,2021,1,4383330.0,8236
377,Odisha,2021,2,5832924.0,7942
378,Odisha,2021,3,6008686.0,7967
379,Odisha,2021,4,10941626.0,9093
380,Odisha,2022,1,14539309.0,9627
381,Odisha,2022,2,16631095.0,12371
382,Odisha,2022,3,23308531.0,18898
383,Odisha,2022,4,33565401.0,24538
384,Odisha,2023,1,29360555.0,18899
385,Odisha,2023,2,31307110.0,22163
386,Odisha,2023,3,29008350.0,20263
387,Odisha,2023,4,39753392.0,25065
388,Puducherry,2020,2,22251.0,112
389,Puducherry,2020,3,58399.0,191
390,Puducherry,2020,4,197955.0,234
391,Puducherry,2021,1,351827.0,372
392,Puducherry,2021,2,508277.0,526
393,Puducherry,2021,3,556442.0,561
394,Puducherry,2021,4,946607.0,786
395,Puducherry,2022,1,1663404.0,1199
396,Puducherry,2022,2,1597786.0,1156
397,Puducherry,2022,3,2025529.0,1585
398,Puducherry,2022,4,2693130.0,2331
399,Puducherry,2023,1,2593091.0,1955
400,Puducherry,2023,2,2614006.0,1809
401,Puducherry,2023,3,2891647.0,2232
402,Puducherry,2023,4,3419395.0,2447
403,Punjab,2020,2,399452.0,2036
404,Punjab,2020,3,684753.0,2488
405,Punjab,2020,4,1884291.0,2451
406,Punjab,2021,1,2558380.0,3783
407,Punjab,2021,2,3768919.0,4047
408,Punjab,2021,3,5271559.0,4887
409,Punjab,2021,4,9912828.0,6638
410,Punjab,2022,1,13155682.0,7475
411,Punjab,2022,2,15465367.0,9175
412,Punjab,2022,3,19381895.0,12370
413,Punjab,2022,4,21727831.0,12187
414,Punjab,2023,1,23330966.0,10816
415,Punjab,2023,2,24998175.0,13187
416,Punjab,2023,3,24461488.0,14048
417,Punjab,2023,4,28715828.0,13777
418,Rajasthan,2020,2,1095933.0,5373
419,Rajasthan,2020,3,3758527.0,15235
420,Rajasthan,2020,4,6471573.0,12509
421,Rajasthan,2021,1,8074225.0,17800
422,Rajasthan,2021,2,14357445.0,18281
423,Rajasthan,2021,3,12793862.0,16643
424,Rajasthan,2021,4,24455262.0,19375
425,Rajasthan,2022,1,31576932.0,21517
426,Rajasthan,2022,2,33748931.0,24333
427,Rajasthan,2022,3,45565544.0,33975
428,Rajasthan,2022,4,60792838.0,40926
429,Rajasthan,2023,1,61441050.0,34415
430,Rajasthan,2023,2,61301449.0,37170
431,Rajasthan,2023,3,64328784.0,39960
432,Rajasthan,2023,4,94701652.0,49741
433,Sikkim,2020,2,4789.0,21
434,Sikkim,2020,3,28000.0,94
435,Sikkim,2020,4,70214.0,67
436,Sikkim,2021,1,111777.0,122
437,Sikkim,2021,2,122064.0,93
438,Sikkim,2021,3,140552.0,106
439,Sikkim,2021,4,503532.0,195
440,Sikkim,2022,1,685987.0,239
441,Sikkim,2022,2,383709.0,160
442,Sikkim,2022,3,474940.0,243
443,Sikkim,2022,4,667214.0,306
444,Sikkim,2023,1,688605.0,260
445,Sikkim,2023,2,628191.0,270
446,Sikkim,2023,3,698251.0,251
447,Sikkim,2023,4,793745.0,324
448,Tamil Nadu,2020,2,1075552.0,5473
449,Tamil Nadu,2020,3,2257373.0,8026
450,Tamil Nadu,2020,4,8993575.0,10290
451,Tamil Nadu,2021,1,11180849.0,14406
452,Tamil Nadu,2021,2,16444344.0,17682
453,Tamil Nadu,2021,3,23402918.0,23107
454,Tamil Nadu,2021,4,42184290.0,33037
455,Tamil Nadu,2022,1,64969045.0,47621
456,Tamil Nadu,2022,2,61835120.0,46714
457,Tamil Nadu,2022,3,79747520.0,64356
458,Tamil Nadu,2022,4,146457790.0,125491
459,Tamil Nadu,2023,1,116710222.0,90690
460,Tamil Nadu,2023,2,105328191.0,79698
461,Tamil Nadu,2023,3,114625593.0,91069
462,Tamil Nadu,2023,4,139433796.0,104871
463,Telangana,2020,2,3419453.0,19003
464,Telangana,2020,3,8406543.0,34395
465,Telangana,2020,4,11339099.0,20961
466,Telangana,2021,1,14810947.0,28298
