,State,District,Year,Quartar,Registered_Users,App_Open_Count
182,Andhra Pradesh,Guntur,2020,1,1289678,45282758
183,Andhra Pradesh,Krishna,2020,1,1331602,46079408
184,Andhra Pradesh,Spsr Nellore,2020,1,775440,28879364
185,Andhra Pradesh,Vizianagaram,2020,1,490683,21562104
186,Andhra Pradesh,Ysr,2020,1,717865,26166193
187,Andhra Pradesh,West Godavari,2020,1,843835,24542868
188,Andhra Pradesh,Chittoor,2020,1,1270907,51354573
189,Andhra Pradesh,East Godavari,2020,2,1459116,45884498
190,Andhra Pradesh,Srikakulam,2020,2,608002,23808009
191,Andhra Pradesh,Visakhapatnam,2020,2,1904719,69684456
192,Andhra Pradesh,Prakasam,2020,2,830709,32255276
193,Andhra Pradesh,Anantapur,2020,2,1076953,39704703
194,Andhra Pradesh,Kurnool,2020,2,1035093,36268390
195,Andhra Pradesh,Guntur,2020,2,1426271,44267596
196,Andhra Pradesh,Krishna,2020,2,1459041,41234166
197,Andhra Pradesh,Spsr Nellore,2020,2,854459,30816403
198,Andhra Pradesh,Vizianagaram,2020,2,537798,24370380
199,Andhra Pradesh,Ysr,2020,2,796769,29644037
200,Andhra Pradesh,West Godavari,2020,2,944829,26583613
201,Andhra Pradesh,Chittoor,2020,2,1385916,49820171
202,Andhra Pradesh,East Godavari,2020,3,1601940,64292857
203,Andhra Pradesh,Srikakulam,2020,3,667858,31794753
204,Andhra Pradesh,Visakhapatnam,2020,3,2058346,102589371
205,Andhra Pradesh,Prakasam,2020,3,915240,44970519
206,Andhra Pradesh,Anantapur,2020,3,1186851,55714787
207,Andhra Pradesh,Kurnool,2020,3,1132240,49164718
208,Andhra Pradesh,Guntur,2020,3,1567595,62427501
209,Andhra Pradesh,Krishna,2020,3,1599289,61028114
210,Andhra Pradesh,Spsr Nellore,2020,3,937176,43951448
211,Andhra Pradesh,Vizianagaram,2020,3,587784,31199437
212,Andhra Pradesh,Ysr,2020,3,877909,41578067
213,Andhra Pradesh,West Godavari,2020,3,1053674,38126238
214,Andhra Pradesh,Chittoor,2020,3,1506503,69462572
215,Andhra Pradesh,East Godavari,2020,4,1746280,82605352
216,Andhra Pradesh,Srikakulam,2020,4,726761,36770992
217,Andhra Pradesh,Visakhapatnam,2020,4,2209658,124730170
218,Andhra Pradesh,Prakasam,2020,4,999462,52839846
219,Andhra Pradesh,Anantapur,2020,4,1295872,69562398
220,Andhra Pradesh,Kurnool,2020,4,1230466,60615045
221,Andhra Pradesh,Guntur,2020,4,1712940,81291172
222,Andhra Pradesh,Krishna,2020,4,1744028,81787771
223,Andhra Pradesh,Spsr Nellore,2020,4,1022944,54765443
224,Andhra Pradesh,Vizianagaram,2020,4,634462,35110885
225,Andhra Pradesh,Ysr,2020,4,959182,49596303
226,Andhra Pradesh,West Godavari,2020,4,1163179,51170162
227,Andhra Pradesh,Chittoor,2020,4,1631331,88232999
228,Andhra Pradesh,East Godavari,2021,1,1878769,91478749
229,Andhra Pradesh,Srikakulam,2021,1,782604,40590058
230,Andhra Pradesh,Visakhapatnam,2021,1,2368081,135908324
231,Andhra Pradesh,Prakasam,2021,1,1075936,56911479
232,Andhra Pradesh,Anantapur,2021,1,1394849,73375049
233,Andhra Pradesh,Kurnool,2021,1,1323411,65326230
234,Andhra Pradesh,Guntur,2021,1,1843237,92731167
235,Andhra Pradesh,Krishna,2021,1,1876458,92941553
236,Andhra Pradesh,Spsr Nellore,2021,1,1100541,60691988
237,Andhra Pradesh,Vizianagaram,2021,1,681621,37752539
238,Andhra Pradesh,Ysr,2021,1,1032689,53525815
239,Andhra Pradesh,West Godavari,2021,1,1254117,57392671
240,Andhra Pradesh,Chittoor,2021,1,1751420,99083825
241,Andhra Pradesh,East Godavari,2021,2,2006272,84705076
242,Andhra Pradesh,Srikakulam,2021,2,837958,43740255
243,Andhra Pradesh,Visakhapatnam,2021,2,2526830,114313154
244,Andhra Pradesh,Prakasam,2021,2,1151232,76850749
245,Andhra Pradesh,Anantapur,2021,2,1492738,104568606
246,Andhra Pradesh,Kurnool,2021,2,1415585,81894678
247,Andhra Pradesh,Guntur,2021,2,1968681,88248064
248,Andhra Pradesh,Krishna,2021,2,2002662,85771678
249,Andhra Pradesh,Spsr Nellore,2021,2,1176334,74049216
250,Andhra Pradesh,Vizianagaram,2021,2,729509,42684475
251,Andhra Pradesh,Ysr,2021,2,1103004,72255265
252,Andhra Pradesh,West Godavari,2021,2,1339377,65118788
253,Andhra Pradesh,Chittoor,2021,2,1870723,110505432
254,Andhra Pradesh,East Godavari,2021,3,2150622,103626560
255,Andhra Pradesh,Srikakulam,2021,3,902008,48622126
256,Andhra Pradesh,Visakhapatnam,2021,3,2707931,139540800
257,Andhra Pradesh,Prakasam,2021,3,1239147,91533813
258,Andhra Pradesh,Anantapur,2021,3,1606735,124985545
259,Andhra Pradesh,Kurnool,2021,3,1522196,101210508
260,Andhra Pradesh,Guntur,2021,3,2110878,106621413
261,Andhra Pradesh,Krishna,2021,3,2145423,104358295
262,Andhra Pradesh,Spsr Nellore,2021,3,1263550,90102349
263,Andhra Pradesh,Vizianagaram,2021,3,784444,46277311
264,Andhra Pradesh,Ysr,2021,3,1183377,86369956
265,Andhra Pradesh,West Godavari,2021,3,1436576,80244808
266,Andhra Pradesh,Chittoor,2021,3,2007011,135043395
267,Andhra Pradesh,East Godavari,2021,4,2294347,142536856
268,Andhra Pradesh,Srikakulam,2021,4,965335,61654215
269,Andhra Pradesh,Visakhapatnam,2021,4,2888774,188757640
270,Andhra Pradesh,Prakasam,2021,4,1325728,86410317
271,Andhra Pradesh,Anantapur,2021,4,1719437,120768682
272,Andhra Pradesh,Kurnool,2021,4,1628242,97379271
273,Andhra Pradesh,Guntur,2021,4,2252443,130920743
274,Andhra Pradesh,Krishna,2021,4,2288148,134436469
275,Andhra Pradesh,Spsr Nellore,2021,4,1349290,90814672
276,Andhra Pradesh,Vizianagaram,2021,4,839606,56101822
277,Andhra Pradesh,Ysr,2021,4,1262963,83534122
278,Andhra Pradesh,West Godavari,2021,4,1532898,100007280
279,Andhra Pradesh,Chittoor,2021,4,2141818,154395512
280,Andhra Pradesh,East Godavari,2022,1,2432305,87134562
281,Andhra Pradesh,Srikakulam,2022,1,1027283,46691467
282,Andhra Pradesh,Visakhapatnam,2022,1,3061324,88803090
283,Andhra Pradesh,Prakasam,2022,1,1408929,104851997
284,Andhra Pradesh,Anantapur,2022,1,1827094,155792533
285,Andhra Pradesh,Kurnool,2022,1,1729513,119653214
286,Andhra Pradesh,Guntur,2022,1,2387051,88844052
287,Andhra Pradesh,Krishna,2022,1,2423373,85871644
288,Andhra Pradesh,Spsr Nellore,2022,1,1431664,101671767
289,Andhra Pradesh,Vizianagaram,2022,1,892889,44804002
290,Andhra Pradesh,Ysr,2022,1,1339782,98878499
